Department;GEO;Role;Willing to relocate;Percent remote;Last evaluation;Number of projects;Average montly hours;Years in the company;Work accidents;Left company;Promotion in the last 5 years;Salary;Gender;LinkedIn hits
Operations;US;VP;0;0.4;0.36;3;168;3;1;0;0;low;M;5
Sales;UK;Senior Director;0;0.4;0.36;5;159;2;0;0;0;low;F;58
Finance;France;Senior Director;0;0.4;0.36;2;282;3;0;0;0;medium;F;42
Human Resources;China;Senior Director;0;0.4;0.36;4;278;4;1;0;0;high;M;37
IT;Korea;Director;0;0.4;0.36;6;256;5;0;0;0;low;F;6
Warehouse;Colombia;Director;0;0.4;0.36;4;97;4;0;0;0;medium;F;17
Operations;Australia;Director;1;0.4;0.36;2;136;3;0;0;0;high;F;35
Sales;Turkey;Director;1;0.4;0.36;4;128;4;0;0;0;medium;F;7
Finance;Japan;Director;0;0.4;0.36;3;114;3;0;0;0;high;M;3
Human Resources;UK;Director;1;0.4;0.36;2;137;4;1;0;0;medium;F;4
IT;China;Senior Manager;0;0.4;0.36;4;242;3;0;0;0;low;M;31
Warehouse;Korea;Senior Manager;1;0.4;0.36;4;253;2;1;0;0;low;F;3
Operations;UK;Senior Manager;0;0.4;0.36;5;269;6;1;0;0;medium;M;34
Sales;Colombia;Senior Manager;0;0.4;0.36;3;256;6;0;0;0;medium;F;44
Finance;Korea;Senior Manager;0;0.4;0.36;3;280;4;0;0;0;low;M;65
Human Resources;France;Senior Manager;0;0.4;0.36;2;132;5;0;0;0;medium;F;13
IT;US;Senior Manager;1;0.4;0.36;3;167;5;0;0;0;low;F;33
Warehouse;China;Senior Manager;0;0.4;0.36;6;191;2;0;0;0;medium;F;5
Operations;US;Senior Manager;1;0.4;0.36;2;192;3;0;0;0;low;M;54
Sales;Australia;Senior Manager;0;0.4;0.36;3;167;5;0;0;0;low;F;40
Finance;Australia;Senior Manager;1;0.4;0.36;6;191;2;0;0;0;medium;M;27
Human Resources;Korea;Senior Manager;1;0.4;0.36;2;192;3;0;0;0;low;M;51
IT;China;Manager;1;0.4;0.37;2;176;2;0;0;0;low;M;36
Warehouse;Korea;Manager;0;0.4;0.37;6;278;3;0;0;0;low;F;17
Operations;Australia;Manager;1;0.4;0.37;2;159;6;0;0;0;low;F;17
Sales;France;Manager;1;0.4;0.37;3;181;2;0;0;0;low;M;29
Finance;France;Manager;1;0.4;0.37;5;186;2;0;0;0;medium;M;48
Human Resources;Japan;Manager;1;0.4;0.37;6;226;2;0;0;0;low;M;11
IT;Australia;Manager;1;0.4;0.37;5;155;3;0;0;0;low;M;20
Warehouse;US;Manager;0;0.4;0.37;4;129;4;0;0;0;medium;M;14
Operations;UK;Manager;1;0.4;0.37;5;128;3;1;0;0;medium;F;34
Sales;Colombia;Manager;0;0.4;0.37;2;171;4;0;0;0;low;M;33
Finance;Japan;Manager;0;0.4;0.37;6;200;3;0;0;0;low;F;25
Human Resources;Australia;Manager;0;0.4;0.37;3;247;4;0;0;0;medium;M;44
IT;Colombia;Manager;1;0.4;0.37;6;266;3;0;0;1;medium;M;55
Warehouse;Turkey;Manager;1;0.4;0.37;3;256;3;0;0;0;medium;F;62
Operations;France;Manager;0;0.4;0.37;2;232;3;1;0;0;low;M;48
Sales;US;Manager;1;0.4;0.37;3;168;3;0;0;0;low;F;9
Finance;Japan;Manager;1;0.4;0.37;2;284;3;0;0;0;high;M;62
Human Resources;China;Manager;0;0.4;0.37;3;127;4;0;0;0;medium;M;34
IT;US;Manager;0;0.4;0.37;4;216;4;0;0;0;low;F;46
Warehouse;UK;Manager;0;0.4;0.37;6;233;5;0;0;0;medium;M;55
Operations;Korea;Manager;0;0.4;0.37;4;285;3;0;0;0;low;M;10
Sales;Turkey;Manager;1;0.4;0.37;3;167;3;0;0;0;medium;F;6
Finance;France;Level 2-4;0;0.4;0.37;3;111;2;0;0;0;high;F;52
Human Resources;Colombia;Level 2-4;0;0.4;0.37;3;137;4;0;0;0;low;M;38
IT;US;Level 2-4;1;0.4;0.37;4;153;2;0;0;0;medium;M;64
Warehouse;Colombia;Level 2-4;1;0.4;0.37;5;101;4;1;0;0;low;F;8
Operations;Korea;Level 2-4;0;0.4;0.37;3;108;4;0;0;0;low;M;34
Sales;US;Level 2-4;1;0.4;0.37;3;123;2;0;0;0;medium;F;55
Finance;Turkey;Level 2-4;1;0.4;0.37;2;167;3;0;0;0;low;M;23
Human Resources;US;Level 2-4;1;0.4;0.37;2;280;3;0;0;0;medium;M;62
IT;US;Level 2-4;1;0.4;0.37;4;165;6;0;0;0;medium;M;44
Warehouse;Turkey;Level 2-4;0;0.4;0.37;3;127;3;0;0;0;low;F;51
Operations;Korea;Level 2-4;0;0.4;0.37;2;104;3;1;0;0;medium;F;52
Sales;US;Level 2-4;1;0.4;0.37;3;125;2;0;0;0;medium;M;46
Finance;Korea;Level 2-4;0;0.4;0.37;3;169;3;1;0;0;medium;M;14
Human Resources;Australia;Level 2-4;0;0.4;0.37;6;219;6;0;0;0;low;M;16
IT;US;Level 2-4;1;0.4;0.37;5;173;2;0;0;0;low;F;8
Warehouse;UK;Level 2-4;1;0.4;0.37;5;156;4;0;0;0;medium;M;41
Operations;Turkey;Level 2-4;0;0.4;0.37;5;246;3;0;0;0;medium;M;3
Sales;US;Level 2-4;0;0.4;0.37;2;118;2;0;0;0;high;F;55
Finance;UK;Level 2-4;0;0.4;0.37;3;164;4;1;0;0;low;M;57
Human Resources;Korea;Level 2-4;1;0.4;0.37;2;219;2;0;0;0;low;F;14
IT;US;Level 2-4;1;0.4;0.37;6;187;10;1;0;0;high;F;36
Warehouse;France;Level 2-4;0;0.4;0.37;3;180;3;0;0;0;medium;F;63
Operations;Colombia;Level 2-4;0;0.4;0.37;3;170;6;0;0;0;low;F;32
Sales;Colombia;Level 2-4;1;0.4;0.37;2;179;5;0;0;1;low;F;44
Finance;China;Level 2-4;0;0.4;0.37;5;156;4;0;0;0;medium;M;57
Human Resources;China;Level 2-4;1;0.4;0.37;5;246;3;0;0;0;medium;F;21
IT;France;Level 2-4;0;0.4;0.37;2;118;2;0;0;0;high;M;28
Warehouse;France;Level 2-4;1;0.4;0.37;3;164;4;1;0;0;low;M;28
Operations;US;Level 2-4;0;0.4;0.37;2;219;2;0;0;0;low;F;39
Sales;UK;Level 2-4;1;0.4;0.37;6;187;10;1;0;0;high;M;43
Finance;China;Level 2-4;1;0.4;0.37;3;180;3;0;0;0;medium;M;31
Human Resources;Australia;Level 2-4;1;0.4;0.37;3;170;6;0;0;0;low;F;53
IT;Korea;Level 2-4;0;0.4;0.37;2;179;5;0;0;1;low;F;61
Warehouse;China;Level 2-4;1;0.4;0.38;3;257;3;0;0;0;medium;F;12
Operations;US;Level 2-4;0;0.4;0.38;6;169;3;0;0;0;low;F;53
Sales;US;Level 2-4;1;0.4;0.38;4;183;5;0;0;0;medium;M;32
Finance;Korea;Level 2-4;0;0.4;0.38;2;126;3;0;0;0;medium;F;17
Human Resources;China;Level 2-4;0;0.4;0.38;3;280;2;0;0;0;low;F;7
IT;China;Level 2-4;0;0.4;0.38;6;215;3;0;0;0;medium;F;6
Warehouse;China;Level 2-4;1;0.4;0.38;5;139;4;0;0;0;medium;M;46
Operations;China;Level 2-4;1;0.4;0.38;3;134;3;0;0;0;medium;F;31
Sales;China;Level 2-4;1;0.4;0.38;6;165;3;0;0;0;low;F;61
Finance;Japan;Level 2-4;0;0.4;0.38;2;106;3;1;0;0;medium;F;37
